,Cluster1,Cluster2,Distanta,Nr_clusteri
0,13.0,105.0,0.020529395887563046,2.0
1,89.0,96.0,0.023146698054284886,2.0
2,127.0,144.0,0.04785466185842591,2.0
3,24.0,51.0,0.05130974381143887,2.0
4,2.0,69.0,0.057190606381729764,2.0
5,77.0,85.0,0.06194927169578304,2.0
6,187.0,188.0,0.06478668532712652,4.0
7,135.0,152.0,0.06686005072069176,2.0
8,112.0,145.0,0.07781543386613714,2.0
9,79.0,190.0,0.07835865901572124,3.0
10,12.0,129.0,0.0845795607076135,2.0
11,149.0,171.0,0.08500297797095342,2.0
12,102.0,113.0,0.09037506138511696,2.0
13,37.0,121.0,0.09136867741711584,2.0
14,72.0,142.0,0.09167689864840572,2.0
15,48.0,164.0,0.09200150243446778,2.0
16,73.0,123.0,0.10171689845703448,2.0
17,170.0,181.0,0.11214314333232207,2.0
18,64.0,98.0,0.11466944894875389,2.0
19,99.0,199.0,0.12876853272206484,3.0
20,88.0,168.0,0.12989096549687731,2.0
21,189.0,193.0,0.1368069450681751,6.0
22,120.0,172.0,0.13978217675706558,2.0
23,52.0,203.0,0.14302215582188807,3.0
24,36.0,42.0,0.1438535893441301,2.0
25,1.0,21.0,0.14740602317818385,2.0
26,54.0,197.0,0.1535434746798668,3.0
27,78.0,191.0,0.1535799014648078,3.0
28,87.0,108.0,0.15776527617173336,2.0
29,47.0,162.0,0.15950994708528723,2.0
30,45.0,204.0,0.16576873936961542,3.0
31,196.0,200.0,0.16850904417391763,5.0
32,58.0,163.0,0.17420230572948944,2.0
33,101.0,103.0,0.18247695725343338,2.0
34,148.0,159.0,0.18314403053537626,2.0
35,192.0,218.0,0.18453869808969509,7.0
36,150.0,161.0,0.19265679380547024,2.0
37,100.0,176.0,0.1926927967971038,2.0
38,117.0,194.0,0.1968562424677651,3.0
39,34.0,160.0,0.2042252810189222,2.0
40,60.0,134.0,0.20714975396024363,2.0
41,184.0,208.0,0.21147574153078305,7.0
42,173.0,213.0,0.21389060838904306,4.0
43,74.0,177.0,0.21790833061071174,2.0
44,57.0,198.0,0.2189232611445244,3.0
45,39.0,209.0,0.22270129042057937,3.0
46,68.0,201.0,0.22343378006209214,3.0
47,62.0,210.0,0.22433657052932607,4.0
48,195.0,216.0,0.2265497864221331,4.0
49,11.0,83.0,0.23400013195054575,2.0
50,5.0,211.0,0.2349945928239314,3.0
51,14.0,75.0,0.23710520337470237,2.0
52,61.0,154.0,0.23824344912836024,2.0
53,3.0,122.0,0.2399944314311422,2.0
54,106.0,236.0,0.2493709398325978,3.0
55,157.0,186.0,0.24937322055429945,2.0
56,81.0,224.0,0.24938436635879563,3.0
57,131.0,212.0,0.2566972197046291,3.0
58,8.0,59.0,0.25801480970415164,2.0
59,18.0,219.0,0.2621122704072582,3.0
60,71.0,179.0,0.26324829425744883,2.0
61,23.0,125.0,0.2646454530790217,2.0
62,41.0,155.0,0.2685730113821976,2.0
63,104.0,128.0,0.2746097580782364,2.0
64,9.0,151.0,0.2767064376827087,2.0
65,46.0,240.0,0.2793630829467159,3.0
66,132.0,169.0,0.2861689820074116,2.0
67,17.0,31.0,0.28810500248452997,2.0
68,49.0,124.0,0.289036016996925,2.0
69,217.0,225.0,0.29013092389001255,6.0
70,130.0,244.0,0.3025724965268358,4.0
71,32.0,233.0,0.3058553378881184,4.0
72,93.0,231.0,0.31856905533721996,4.0
73,70.0,232.0,0.31999845035011243,4.0
74,27.0,82.0,0.3340772865901986,2.0
75,22.0,143.0,0.3442317285550178,2.0
76,220.0,235.0,0.3443416305242538,6.0
77,95.0,107.0,0.34474138135677945,2.0
78,65.0,180.0,0.34495797899167474,2.0
79,19.0,207.0,0.3505258764561596,3.0
80,50.0,94.0,0.3534458528059441,2.0
81,16.0,223.0,0.35568239742761826,3.0
82,7.0,237.0,0.3583849023941013,4.0
83,66.0,118.0,0.3595956160921988,2.0
84,206.0,259.0,0.3617024875785414,7.0
85,43.0,119.0,0.36362784849822616,2.0
86,221.0,269.0,0.369574597312862,6.0
87,84.0,247.0,0.37490073783247135,3.0
88,166.0,256.0,0.37753479217683605,7.0
89,28.0,76.0,0.3780797607492458,2.0
90,30.0,146.0,0.3792072460345067,2.0
91,67.0,178.0,0.38566910623056455,2.0
92,214.0,222.0,0.3940781210511814,10.0
93,80.0,205.0,0.41131289649568975,3.0
94,35.0,185.0,0.4142973165200666,2.0
95,141.0,250.0,0.4181635335073307,3.0
96,215.0,258.0,0.41979788991846273,6.0
97,10.0,115.0,0.42377574619077363,2.0
98,251.0,268.0,0.42532540627628096,5.0
99,29.0,254.0,0.42664962280214136,3.0
100,227.0,280.0,0.4301735106152543,5.0
101,26.0,202.0,0.4355591252272599,3.0
102,165.0,238.0,0.4387228674203639,3.0
103,140.0,270.0,0.44252214651917854,3.0
104,126.0,153.0,0.44872110006467625,2.0
105,242.0,243.0,0.4703346150804735,5.0
106,53.0,248.0,0.48395481102677473,3.0
107,92.0,133.0,0.4850457688540615,2.0
108,167.0,271.0,0.487219598424874,8.0
109,38.0,183.0,0.5064788613510468,2.0
110,63.0,110.0,0.5086362023178378,2.0
111,239.0,278.0,0.5107700939939434,4.0
112,25.0,156.0,0.5221724345890795,2.0
113,56.0,289.0,0.5491206088398566,4.0
114,229.0,275.0,0.5623408298214108,11.0
115,255.0,264.0,0.5816040397487674,4.0
116,40.0,265.0,0.5883438098946102,3.0
117,20.0,260.0,0.5983081788957253,5.0
118,44.0,174.0,0.5999102539048129,2.0
119,245.0,252.0,0.6072956754594405,5.0
120,182.0,262.0,0.6095689162819348,3.0
121,249.0,290.0,0.6095716458268898,5.0
122,15.0,137.0,0.6166469734742352,2.0
123,33.0,158.0,0.619348705426339,2.0
124,257.0,286.0,0.6420868854306502,7.0
125,263.0,266.0,0.6437725582746905,9.0
126,116.0,241.0,0.6589106807127981,4.0
127,285.0,299.0,0.6694444309979806,7.0
128,139.0,298.0,0.6850045226010775,5.0
129,228.0,279.0,0.6976677620876803,17.0
130,4.0,281.0,0.7028900359690986,3.0
131,253.0,311.0,0.7133083066503206,9.0
132,284.0,292.0,0.7374315247775914,7.0
133,261.0,274.0,0.7390721327174585,5.0
134,226.0,293.0,0.7529246797785276,5.0
135,90.0,307.0,0.7697718257698137,4.0
136,272.0,306.0,0.773868591411395,7.0
137,230.0,287.0,0.7900388261440616,7.0
138,6.0,300.0,0.7946993892254747,5.0
139,295.0,301.0,0.8094397766477358,19.0
140,304.0,313.0,0.8228182526966679,9.0
141,267.0,302.0,0.8280649896239854,6.0
142,246.0,283.0,0.8455204690370233,9.0
143,114.0,319.0,0.8464234128736289,8.0
144,234.0,329.0,0.8863694475726075,13.0
145,97.0,305.0,0.8869928525124612,3.0
146,138.0,175.0,0.8987389863844485,2.0
147,136.0,309.0,0.9346613404073,3.0
148,273.0,328.0,1.0218142189697115,12.0
149,277.0,297.0,1.0347691254381874,4.0
150,91.0,296.0,1.0549929105099853,3.0
151,314.0,323.0,1.111650993526157,14.0
152,308.0,315.0,1.1429923260154815,10.0
153,276.0,330.0,1.1932007846669093,10.0
154,288.0,294.0,1.2093675038605958,5.0
155,109.0,334.0,1.2166384602311948,4.0
156,282.0,317.0,1.218348722604232,6.0
157,303.0,331.0,1.2843943354169318,16.0
158,320.0,321.0,1.3552758208675384,10.0
159,86.0,335.0,1.3642780037554794,13.0
160,0.0,291.0,1.378343242400557,3.0
161,312.0,316.0,1.3812921880876907,26.0
162,337.0,343.0,1.406650053578436,9.0
163,55.0,333.0,1.464043243932976,3.0
164,322.0,345.0,1.4839680926759,14.0
165,338.0,350.0,1.53846378760582,17.0
166,111.0,336.0,1.7699599746054797,5.0
167,327.0,346.0,1.8298416819453276,22.0
168,324.0,332.0,1.9047416392763123,10.0
169,310.0,344.0,2.118706646897096,18.0
170,325.0,351.0,2.2300780937559597,19.0
171,339.0,341.0,2.2759683085314357,15.0
172,342.0,355.0,2.6151286545575,14.0
173,318.0,349.0,2.6299994754234657,18.0
174,326.0,347.0,2.8001324624917987,22.0
175,340.0,356.0,2.953714666161664,28.0
176,348.0,361.0,3.1590685023545464,48.0
177,353.0,360.0,3.46130522024679,23.0
178,352.0,358.0,3.497922485411917,32.0
179,357.0,364.0,4.356379984057459,42.0
180,147.0,365.0,4.633671536239276,33.0
181,354.0,362.0,4.938032835882074,50.0
182,359.0,367.0,6.490258457191348,47.0
183,363.0,368.0,11.463756105157833,98.0
184,366.0,369.0,15.275143338906915,89.0
185,370.0,371.0,35.37751544152957,187.0
